,Good,Medium,Bad
227,0.43,0.252,0.318
228,0.336,0.368,0.296
229,0.346,0.326,0.328
230,0.318,0.352,0.33
231,0.422,0.242,0.336
232,0.33,0.334,0.336
233,0.416,0.25,0.334
234,0.348,0.318,0.334
235,0.334,0.344,0.322
236,0.338,0.342,0.32
237,0.332,0.33,0.338
238,0.334,0.35,0.316
239,0.43,0.238,0.332
240,0.342,0.322,0.336
241,0.326,0.332,0.342
242,0.428,0.248,0.324
243,0.362,0.318,0.32
244,0.348,0.358,0.294
245,0.338,0.328,0.334
246,0.336,0.344,0.32
247,0.336,0.36,0.304
248,0.332,0.352,0.316
249,0.342,0.336,0.322
250,0.336,0.348,0.316
251,0.336,0.354,0.31
252,0.35,0.316,0.334
253,0.324,0.35,0.326
254,0.324,0.364,0.312
255,0.352,0.314,0.334
256,0.328,0.372,0.3
257,0.34,0.338,0.322
258,0.35,0.332,0.318
259,0.336,0.348,0.316
260,0.342,0.338,0.32
261,0.338,0.312,0.35
262,0.348,0.35,0.302
263,0.34,0.318,0.342
264,0.352,0.328,0.32
265,0.336,0.352,0.312
266,0.346,0.302,0.352
267,0.334,0.36,0.306
268,0.338,0.348,0.314
269,0.364,0.298,0.338
270,0.34,0.33,0.33
271,0.366,0.302,0.332
272,0.37,0.316,0.314
273,0.35,0.314,0.336
274,0.432,0.24,0.328
275,0.356,0.308,0.336
276,0.332,0.348,0.32
277,0.44,0.226,0.334
278,0.434,0.232,0.334
279,0.346,0.34,0.314
280,0.334,0.334,0.332
281,0.346,0.338,0.316
282,0.346,0.322,0.332
283,0.338,0.32,0.342
284,0.366,0.32,0.314
285,0.33,0.328,0.342
286,0.334,0.332,0.334
287,0.424,0.234,0.342
288,0.37,0.324,0.306
289,0.362,0.308,0.33
290,0.346,0.33,0.324
291,0.328,0.334,0.338
292,0.336,0.34,0.324
293,0.426,0.244,0.33
294,0.424,0.242,0.334
295,0.346,0.35,0.304
296,0.336,0.33,0.334
297,0.334,0.352,0.314
298,0.336,0.324,0.34
299,0.326,0.342,0.332
300,0.32,0.354,0.326
301,0.312,0.376,0.312
302,0.314,0.346,0.34
303,0.326,0.318,0.356
304,0.334,0.352,0.314
305,0.346,0.326,0.328
306,0.322,0.346,0.332
307,0.33,0.346,0.324
308,0.326,0.346,0.328
309,0.334,0.358,0.308
310,0.316,0.364,0.32
311,0.326,0.332,0.342
312,0.344,0.342,0.314
313,0.34,0.346,0.314
314,0.328,0.35,0.322
315,0.418,0.246,0.336
316,0.344,0.332,0.324
317,0.318,0.362,0.32
318,0.326,0.35,0.324
319,0.334,0.338,0.328
320,0.328,0.354,0.318
321,0.326,0.36,0.314
322,0.336,0.312,0.352
323,0.344,0.336,0.32
324,0.352,0.306,0.342
325,0.37,0.32,0.31
326,0.33,0.35,0.32
327,0.356,0.356,0.288
328,0.366,0.308,0.326
329,0.356,0.316,0.328
330,0.36,0.352,0.288
331,0.332,0.356,0.312
332,0.352,0.334,0.314
333,0.338,0.312,0.35
334,0.322,0.352,0.326
335,0.35,0.322,0.328
336,0.424,0.244,0.332
337,0.34,0.336,0.324
338,0.35,0.334,0.316
339,0.32,0.33,0.35
