,1.0,1.0,1.0,0.0,0.0,0.0,nan,nan,nan
,1.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan
0,0.1824,0.0898,0.11523,0.10455,0.1048,0.09625,0.1385,0.0889,0.0795
1,0.1748,0.08887,0.1214,0.0935,0.11066,0.08936,0.1337,0.0839,0.1038
2,0.1995,0.09015,0.1062,0.09705,0.1051,0.0859,0.10315,0.0865,0.1265
3,0.179,0.0917,0.1309,0.09845,0.10376,0.0789,0.11383,0.0921,0.1114
4,0.1757,0.10187,0.09155,0.10156,0.1108,0.10077,0.10126,0.0933,0.1233
5,0.1462,0.08496,0.1148,0.10205,0.09625,0.1003,0.1182,0.1127,0.1246
6,0.1643,0.0995,0.1148,0.09985,0.1115,0.0968,0.10266,0.08954,0.1211
7,0.1877,0.0837,0.1176,0.0813,0.0914,0.10815,0.1104,0.1067,0.11304
8,0.168,0.10925,0.0916,0.0999,0.1136,0.09796,0.09973,0.1021,0.1178
9,0.1742,0.09845,0.1154,0.09644,0.09644,0.09247,0.1057,0.10315,0.1178
10,0.1754,0.10284,0.10736,0.08716,0.0862,0.09955,0.0989,0.11664,0.126
11,0.1812,0.0935,0.0973,0.0842,0.10455,0.0915,0.0922,0.10596,0.1497
12,0.2065,0.09076,0.10565,0.09106,0.0893,0.0819,0.10925,0.09344,0.1322
13,0.187,0.10394,0.0901,0.0984,0.1141,0.10846,0.087,0.09546,0.11566
14,0.1792,0.09216,0.10516,0.0887,0.1002,0.0907,0.1122,0.09656,0.135
15,0.1569,0.118,0.1233,0.09357,0.087,0.105,0.11255,0.1118,0.09204
16,0.1653,0.0927,0.1076,0.08746,0.1037,0.10565,0.1222,0.07806,0.1373
17,0.165,0.1048,0.1171,0.11365,0.0991,0.077,0.11255,0.08673,0.1239
18,0.1893,0.1262,0.1337,0.11334,0.07916,0.0738,0.1326,0.08875,0.0631
19,0.1699,0.10315,0.1082,0.0955,0.089,0.0915,0.122,0.0757,0.145
20,0.1699,0.0956,0.1024,0.0957,0.09827,0.0866,0.1078,0.0844,0.1593
21,0.2003,0.1103,0.1067,0.09143,0.09393,0.0911,0.1092,0.09393,0.1031
22,0.169,0.1015,0.10596,0.09314,0.09283,0.108,0.11127,0.09424,0.12415
23,0.1814,0.1099,0.1196,0.10394,0.09094,0.0888,0.10504,0.0953,0.10504
24,0.1768,0.0921,0.0937,0.0934,0.12054,0.0941,0.0853,0.0814,0.1626
25,0.1937,0.114,0.1103,0.0934,0.08655,0.095,0.1087,0.0887,0.10974
26,0.1569,0.10095,0.11487,0.0884,0.11035,0.0944,0.1136,0.0914,0.1292
27,0.1597,0.1074,0.11,0.0947,0.1143,0.09174,0.1074,0.075,0.1396
28,0.1765,0.09503,0.1265,0.06915,0.1043,0.1078,0.1052,0.089,0.1265
29,0.192,0.10876,0.11597,0.09436,0.09656,0.08545,0.1121,0.07214,0.1226
30,0.1786,0.0949,0.10864,0.0834,0.1022,0.0997,0.11456,0.09515,0.123
31,0.1508,0.1069,0.107,0.1105,0.08044,0.11224,0.1003,0.0979,0.1342
32,0.1885,0.0811,0.1188,0.0856,0.1067,0.10754,0.11835,0.1013,0.0921
33,0.1829,0.07635,0.10443,0.0774,0.079,0.089,0.1282,0.0995,0.1632
34,0.1782,0.1107,0.0994,0.0804,0.08887,0.09735,0.109,0.1023,0.1338
35,0.1602,0.1022,0.11334,0.0959,0.10333,0.1022,0.1066,0.08734,0.1289
36,0.1583,0.094,0.1057,0.0953,0.12195,0.1018,0.1031,0.0891,0.1307
37,0.1757,0.1178,0.0997,0.10114,0.0952,0.0993,0.10187,0.1067,0.1026
38,0.179,0.0978,0.1171,0.0783,0.1123,0.10236,0.10144,0.0996,0.11206
39,0.1852,0.1421,0.1271,0.1109,0.0818,0.07104,0.1163,0.08936,0.0764
40,0.1975,0.1377,0.1185,0.1106,0.0756,0.06775,0.12415,0.0824,0.08575
41,0.1658,0.1214,0.0935,0.1046,0.0912,0.1105,0.0806,0.0961,0.1364
42,0.1547,0.1018,0.105,0.09467,0.1327,0.10425,0.0925,0.096,0.11847
43,0.1765,0.09094,0.11884,0.0894,0.09094,0.1081,0.1046,0.092,0.1287
44,0.1759,0.10974,0.10803,0.09674,0.09784,0.1103,0.1035,0.0984,0.09955
45,0.18,0.1175,0.10406,0.10254,0.0943,0.0932,0.1022,0.0797,0.1265
46,0.1794,0.1053,0.1119,0.0897,0.10486,0.0797,0.11224,0.0893,0.1276
47,0.1696,0.1087,0.1038,0.101,0.11127,0.11127,0.09845,0.0839,0.11206
48,0.1437,0.1091,0.10693,0.1028,0.1028,0.1144,0.10205,0.09766,0.12067
49,0.1613,0.107,0.0909,0.0875,0.1201,0.1074,0.0963,0.10474,0.12476
50,0.1576,0.1124,0.1121,0.09155,0.08954,0.1147,0.097,0.0972,0.1278
51,0.1523,0.108,0.1012,0.12445,0.09106,0.1091,0.1087,0.0926,0.1126
52,0.1477,0.1234,0.09766,0.10626,0.10736,0.0999,0.0891,0.09326,0.1353
53,0.1641,0.1059,0.10046,0.0702,0.1108,0.1117,0.09357,0.1175,0.1257
54,0.1693,0.1081,0.11334,0.093,0.10565,0.10016,0.1114,0.101,0.09796
55,0.1731,0.0979,0.11523,0.0951,0.112,0.0925,0.0865,0.1126,0.115
56,0.1467,0.1183,0.1078,0.12164,0.1017,0.08984,0.10614,0.08954,0.1183
57,0.149,0.10925,0.1231,0.09174,0.10645,0.08527,0.12396,0.08527,0.126
58,0.1499,0.09766,0.0755,0.1035,0.11847,0.1175,0.0841,0.1032,0.1501
59,0.1495,0.1051,0.102,0.1013,0.1196,0.1018,0.09296,0.0908,0.1368
60,0.1534,0.0955,0.1214,0.08386,0.0951,0.11975,0.09863,0.10956,0.12286
61,0.1606,0.11957,0.1095,0.0932,0.10834,0.09656,0.11566,0.1022,0.0943
62,0.1699,0.1199,0.1065,0.0938,0.09924,0.1021,0.1116,0.0844,0.1126
63,0.1709,0.1147,0.0958,0.0879,0.1014,0.1067,0.1038,0.1078,0.11096
64,0.1989,0.1432,0.1027,0.11914,0.07214,0.07104,0.1038,0.08417,0.1049
65,0.1848,0.10406,0.11096,0.09717,0.11334,0.1008,0.0958,0.0936,0.0993
66,0.169,0.1042,0.1171,0.07806,0.11694,0.0897,0.1175,0.0826,0.1248
67,0.1667,0.09937,0.1074,0.09326,0.1096,0.1042,0.1,0.08777,0.1317
68,0.1824,0.10345,0.1091,0.0939,0.099,0.08856,0.1103,0.0779,0.1355
69,0.1492,0.0986,0.10223,0.0931,0.10077,0.10175,0.10376,0.10175,0.1488
70,0.1833,0.1067,0.10547,0.08154,0.10004,0.10693,0.10364,0.08496,0.1274
71,0.1744,0.108,0.1092,0.0922,0.10406,0.0972,0.10626,0.08777,0.1207
72,0.1804,0.1068,0.1087,0.0977,0.117,0.0996,0.1124,0.0958,0.0815
