,VIII_NNN,VI_PNP,V_PNN,VIII_NNP,X_NNP,II_NPP,XI_NNP,VII_NPP,III_NPP,XII_PPN,VII_NNN,IX_NNP,IV_NPP,VII_PNN,I_PPN,XI_NNN,VII_NPN,V_NNP,IX_PPP,IV_PPP,IV_PPN,II_PNN,XI_NPN,I_PPP,XI_PPN,X_PPN,V_PPN,III_NNN,VI_NNN,XI_PPP,V_PNP,XI_NPP,II_PPN,I_NNP,X_NPN,X_NNN,IV_PNN,VIII_PNP,I_NPP,X_PNN,XI_PNP,XII_PNN,XII_NPP,VIII_PPN,XII_NNP,V_NPP,VI_NNP,VI_PNN,I_PNN,II_PPP,VIII_NPN,XII_PPP,IX_PPN,VII_NNP,XI_PNN,X_PNP,IV_PNP,II_PNP,VII_PPN,IX_PNN,III_NNP,VI_PPP,II_NPN,V_NPN,VIII_NPP,V_PPP,IX_NPP,IV_NPN,I_NNN,IV_NNN,VI_PPN,III_PPP,III_NPN,III_PNP,VI_NPN,IV_NNP,IX_NPN,X_NPP,VI_NPP,VIII_PPP,IX_NNN,II_NNN,II_NNP,I_NPN,VIII_PNN,XII_NPN,XII_NNN,III_PPN,VII_PPP,V_NNN,VII_PNP,IX_PNP,X_PPP,XII_PNP,III_PNN,I_PNP
408,-11.87,-37.16,-25.4,-22.3,-18.75,-28.62,-25.0,-29.2,-30.0,0.0,-7.13,-16.11,-31.14,-36.38,-37.62,-8.26,-22.34,-16.33,-32.2,-44.4,-41.28,-29.19,-21.75,-37.84,-36.94,-48.66,-26.4,-14.91,-9.87,0.0,-33.1,-35.88,-27.58,-26.38,-6.0,-6.0,-9.91,-23.45,-37.34,-13.164,-20.2,0.0,0.0,-35.34,0.0,-36.2,-28.4,-21.0,-18.92,-36.28,-7.5,0.0,-30.17,-27.5,-28.0,-38.5,-34.34,-33.6,-65.7,-22.11,-26.5,-49.2,-23.05,-20.25,-47.12,-46.16,-34.38,-13.48,-14.4,-19.06,-44.12,-42.4,-16.0,-23.67,-41.47,-25.12,-22.86,-28.0,-19.88,-34.94,-14.88,-16.48,-19.3,-28.45,-21.8,0.0,-14.73,-29.58,-45.25,-23.22,-38.1,-32.2,-62.0,0.0,-26.5,-29.28
409,-3.818,-9.3,-7.234,-5.32,-3.875,-6.96,-5.418,-6.85,-9.5,0.0,-4.6,-4.875,-8.42,-5.9,-10.92,-1.725,-5.85,-6.15,-10.7,-14.7,-9.484,-5.21,-3.938,-13.44,-11.06,-8.664,-9.07,-4.273,-3.475,0.0,-5.51,-10.25,-6.5,-5.02,-6.0,-3.857,-3.34,-9.055,-9.47,-7.668,-3.25,0.0,0.0,-7.55,0.0,-9.38,-4.816,-3.875,-6.25,-9.625,-1.233,0.0,-9.04,-6.074,-7.0,-8.75,-10.24,-10.85,-7.9,-5.32,-6.5,-8.516,-4.49,-7.5,-6.773,-8.5,-7.855,-6.793,-5.668,-5.375,-11.05,-12.2,-6.6,-12.5,-7.0,-5.883,-5.273,-6.0,-13.1,-8.34,-3.941,-1.236,-4.473,-7.3,-5.0,0.0,-3.494,-7.145,-9.47,-4.5,-8.37,-8.3,-9.0,0.0,-8.336,-5.625
410,-2.492,-8.71,-5.156,-3.77,-7.75,-9.42,-6.418,-6.75,-9.0,0.0,-2.389,-4.477,-8.516,-1.9,-7.688,-4.15,-8.58,-7.8,-7.85,-10.67,-14.37,-5.01,-6.75,-12.6,-12.25,-9.664,-9.75,-3.545,-4.875,0.0,-9.31,-7.062,-8.59,-3.72,-1.25,-2.143,-5.45,-9.4,-8.26,-4.668,-15.0,0.0,0.0,-7.74,0.0,-4.582,-6.035,-7.8,-6.85,-11.85,-5.75,0.0,-5.16,-4.79,-2.0,-10.5,-12.78,-9.36,-6.125,-4.37,-11.0,-12.875,-6.46,-7.918,-2.324,-6.168,-6.93,-4.582,-8.664,-4.707,-9.55,-11.4,-7.8,-9.836,-6.55,-6.137,-4.445,-7.668,-11.5,-9.7,-2.768,-3.514,-7.32,-8.19,-7.086,0.0,-3.73,-11.14,-7.965,0.0833,-8.57,-6.85,-9.0,0.0,-5.332,-10.05
411,-11.32,-34.28,-20.9,-20.05,-33.38,-30.3,-19.5,-48.0,-33.5,0.0,-13.51,-17.27,-39.47,-17.3,-31.78,-11.8,-26.23,-26.5,-50.5,-55.7,-33.12,-10.81,-16.38,-39.78,-30.55,-41.66,-29.69,-16.19,-16.86,0.0,-41.72,-36.94,-33.5,-23.19,-30.25,-12.0,-27.06,-30.34,-45.66,-33.66,-58.0,0.0,0.0,-28.05,0.0,-36.03,-18.7,-23.84,-20.11,-41.75,-19.8,0.0,-36.3,-26.92,-14.5,-30.5,-22.28,-23.31,-20.25,-14.61,-5.5,-46.38,-19.1,-29.17,-37.2,-52.72,-34.47,-25.22,-16.4,-15.86,-22.81,-53.6,-21.4,-37.0,-28.48,-27.4,-18.75,-41.0,-32.78,-51.22,-8.54,-16.8,-22.11,-38.8,-22.03,0.0,-14.195,-26.86,-42.0,-14.75,-35.62,-36.28,-20.0,0.0,-26.0,-36.56
412,-118.6,-264.2,-196.4,-167.5,-167.9,-227.5,-203.2,-95.0,-262.0,0.0,-106.8,-152.0,-242.2,-134.9,-269.8,-33.28,-95.94,-226.6,-239.9,-205.4,-257.8,-119.94,-109.94,-311.8,-241.0,-208.4,-313.8,-134.2,-78.4,0.0,-167.0,-156.2,-200.5,-203.8,-152.8,-101.9,-243.0,-257.8,-261.8,-207.6,-153.8,0.0,0.0,-216.1,0.0,-249.4,-147.2,-228.5,-238.0,-264.8,-142.4,0.0,-212.4,-212.6,-188.0,-227.0,-248.6,-189.5,-375.0,-124.94,-95.0,-327.2,-81.2,-144.0,-233.8,-315.0,-224.2,-176.4,-114.2,-138.2,-218.4,-287.0,-219.4,-245.9,-213.9,-165.8,-91.8,-220.4,-184.2,-248.1,-109.0,-91.7,-188.4,-168.0,-137.8,0.0,-102.56,-171.2,-303.8,-114.06,-160.5,-228.0,-335.0,0.0,-263.0,-243.6
413,-0.536,-4.676,-2.66,-1.619,-3.0,-3.426,-2.0,-4.375,-7.0,0.0,-1.816,-1.158,-3.6,-1.967,-4.9,-1.25,-0.25,-3.684,-3.375,-2.062,-3.441,-2.53,-2.75,-6.3,-4.8,-3.334,-3.316,-1.272,-1.636,0.0,-5.336,-4.75,-3.584,-3.32,-4.75,-0.5713,-2.32,-4.086,-4.67,-3.834,-5.0,0.0,0.0,-3.4,0.0,-4.35,-1.533,-2.75,-3.7,-6.1,-1.55,0.0,-2.58,-0.806,-4.0,-4.25,-4.25,-4.75,-4.926,-2.695,-3.0,-6.24,-3.64,-2.65,-2.0,-5.535,-3.02,-2.143,-2.166,-1.85,-4.176,-5.0,-0.8,-4.0,-4.11,-2.057,-1.55,-4.332,-3.24,-4.89,-0.1542,-0.09546,-2.7,-2.738,-2.475,0.0,-1.315,-4.57,-7.0,0.4666,-3.342,-3.756,-10.0,0.0,-3.166,-3.375
414,-1.555,-7.918,-5.797,-6.758,-3.75,-10.75,-3.334,-3.75,-9.0,0.0,-2.656,-3.5,-6.977,-4.09,-9.414,-4.375,-4.85,-6.566,-11.33,-11.35,-8.85,-6.45,-6.1,-13.44,-11.76,-9.664,-11.336,-3.908,-6.2,0.0,-10.94,-9.5,-5.824,-7.76,-4.75,-4.43,-7.33,-6.633,-8.44,-5.668,-5.0,0.0,0.0,-11.4,0.0,-8.734,-5.5,-7.0,-6.523,-9.06,-1.0,0.0,-6.63,-5.395,-15.0,-8.0,-8.28,-7.99,-10.0,-3.34,-6.5,-11.984,-4.52,-3.666,-4.95,-8.414,-7.367,-7.582,-3.9,-4.062,-7.6,-10.0,-4.8,-7.668,-7.227,-7.24,-7.156,-8.0,-7.6,-11.52,-3.283,-3.582,-7.17,-5.062,-5.414,0.0,-3.664,-8.43,-10.5,-4.734,-7.332,-8.32,-13.0,0.0,-11.336,-8.42
415,-1.664,-3.838,-2.256,-1.15,-1.125,-2.875,-2.0,-3.5,-2.5,0.0,-1.866,-2.55,-3.65,-2.625,-3.7,-1.5,-2.95,-3.066,-2.4,-4.113,-4.035,-2.78,-5.25,-5.64,-3.8,-4.668,-2.768,-2.182,-1.422,0.0,-4.824,-3.0,-4.426,-1.02,-4.5,-1.143,-1.57,-4.625,-4.25,-2.166,-3.0,0.0,0.0,-4.34,0.0,-5.832,-1.225,-4.375,-1.925,-4.5,-3.066,0.0,-3.14,-3.062,0.0,-4.25,-4.13,-2.8,-2.3,-1.473,-1.0,-3.95,-2.55,-1.4,-2.725,-4.766,-2.182,-3.607,-1.95,-1.263,-3.525,-6.5,-2.4,-4.0,-2.459,-1.675,-1.3125,-2.334,-3.73,-5.39,-1.6045,-0.7954,-2.814,-0.4,-2.113,0.0,-0.7593,-4.715,-4.367,-2.268,-4.0,-2.95,-6.0,0.0,-0.1666,-3.5
416,-22.4,-55.84,-41.34,-44.34,-46.88,-48.47,-29.6,-85.0,-46.0,0.0,-21.45,-30.5,-54.66,-39.84,-87.6,-30.77,-31.84,-7.15,-82.0,-85.7,-57.8,-43.62,-43.94,-70.56,-56.94,-24.0,-64.06,-28.45,-23.0,0.0,-41.4,-48.0,-64.4,-86.94,-22.25,-31.58,-66.56,-49.1,-58.44,-29.67,-107.0,0.0,0.0,-70.5,0.0,-68.8,-29.69,-60.7,-51.94,-61.7,-51.4,0.0,-51.22,-37.8,-35.0,-65.0,-69.0,-58.94,-75.7,-35.1,-49.5,-69.9,-39.44,-28.7,-48.0,-53.66,-41.03,-52.47,-31.6,-28.86,-58.56,-89.0,-26.4,-78.7,-27.86,-30.14,-26.05,-70.0,-52.7,-68.1,-19.77,-26.55,-38.94,-47.53,-28.47,0.0,-24.2,-55.72,-57.72,-37.4,-60.25,-72.44,-83.0,0.0,-37.5,-72.3
417,-1.291,-8.7,-6.453,-6.582,-4.0,-5.2,-6.332,-6.35,-9.5,0.0,-3.434,-5.1,-14.25,-4.867,-7.676,-2.6,-7.0,-8.164,-9.75,-9.914,-9.266,-7.04,-8.6,-10.41,-5.98,-14.336,-7.883,-1.363,-3.443,0.0,-6.727,-7.6,-10.45,-7.79,-4.0,-3.857,-4.86,-9.53,-7.33,-5.832,-10.4,0.0,0.0,-9.86,0.0,-6.977,-5.516,-4.05,-5.586,-11.92,-7.465,0.0,-8.41,-5.85,-5.0,-8.75,-9.74,-5.41,-5.25,-4.344,-6.0,-16.94,-3.75,-8.13,-6.25,-12.88,-8.36,-8.5,-7.465,-1.213,-10.85,-10.0,-5.4,-9.0,-5.066,-5.418,-5.746,-8.336,-7.38,-7.44,-2.883,-3.182,-3.742,-9.06,-2.3,0.0,-3.873,-10.0,-6.8,-2.268,-9.414,-7.957,-5.0,0.0,-8.5,-6.2
